	21779	27471	32399	509658	516575	Total
pspcokeshaky	0	0	2	0	0	2
wont	1	0	0	1	0	2
soulfly	0	0	2	0	0	2
forgot	1	1	0	0	0	2
bru	0	0	1	1	0	2
climb	2	0	0	0	0	2
routing	2	0	0	0	0	2
croatia	2	0	0	0	0	2
england	1	0	0	1	0	2
dentge	1	0	0	1	0	2
astra	0	0	1	0	1	2
awper	0	0	1	0	1	2
shoot	0	0	1	0	1	2
kesha	2	0	0	0	0	2
finally	1	1	0	0	0	2
shoulda	0	0	1	1	0	2
counter	0	0	1	1	0	2
heaven	0	0	1	0	1	2
rem	0	0	2	0	0	2
biroman	0	0	2	0	0	2
wouldnt	0	0	1	1	0	2
midlane	2	0	0	0	0	2
challenger	2	0	0	0	0	2
happend	0	0	2	0	0	2
shii	0	0	1	1	0	2
doesheknow	2	0	0	0	0	2
cuz	1	0	0	0	1	2
riding	1	0	0	0	1	2
xqc	0	0	2	0	0	2
killthatboy	0	0	2	0	0	2
matter	0	0	1	0	1	2
buying	0	0	1	0	1	2
monitor	0	0	2	0	0	2
subscribe	0	0	1	0	1	2
vc	1	1	0	0	0	2
picked	0	0	0	2	0	2
norway	0	0	0	2	0	2
rid	0	0	1	0	1	2
series	0	0	1	0	1	2
local	1	0	0	1	0	2
rainwaker	0	0	2	0	0	2
kills	0	0	2	0	0	2
lowkey	0	0	1	0	1	2
soul	1	0	0	1	0	2
naafiri	2	0	0	0	0	2
nsfw	0	0	2	0	0	2
inches	0	0	2	0	0	2
handsup	0	0	2	0	0	2
difficult	1	0	0	0	1	2
beat	1	0	0	1	0	2
yugi	0	0	0	2	0	2
shut	0	0	0	2	0	2
rose	2	0	0	0	0	2
trol	2	0	0	0	0	2
egypt	0	0	0	2	0	2
chill	0	0	0	1	1	2
dumb	0	0	0	2	0	2
yikes	2	0	0	0	0	2
deluxify	2	0	0	0	0	2
aint	1	0	0	1	0	2
ayaya	0	0	2	0	0	2
slow	0	0	1	1	0	2
read	0	0	1	0	1	2
rmr	0	0	2	0	0	2
awo	0	0	2	0	0	2
shame	1	0	1	0	0	2
camel	1	1	0	0	0	2
year	1	0	0	1	0	2
darrin	0	0	0	2	0	2
lie	1	1	0	0	0	2
roster	1	0	1	0	0	2
touch	2	0	0	0	0	2
leave	0	0	1	1	0	2
timeout	0	0	2	0	0	2
flm	0	0	2	0	0	2
pitch	0	0	0	2	0	2
extra	0	0	0	1	1	2
bit	1	0	0	1	0	2
begging	1	1	0	0	0	2
boss	2	0	0	0	0	2
difficulty	1	0	0	0	1	2
struggle	1	0	0	0	1	2
jersey	0	0	0	2	0	2
diagonals	0	0	0	2	0	2
pickem	0	0	2	0	0	2
bots	0	0	1	1	0	2
fried	1	0	1	0	0	2
muted	1	0	0	1	0	2
hat	2	0	0	0	0	2
goin	1	0	1	0	0	2
watkins	0	0	0	2	0	2
yugixexcited	0	0	0	2	0	2
dance	0	0	0	2	0	2
fo	2	0	0	0	0	2
descendant	2	0	0	0	0	2
emotional	0	0	0	2	0	2
chills	0	0	0	2	0	2
nba	0	0	0	2	0	2
paid	0	0	0	1	1	2
tal	2	0	0	0	0	2
placebo	2	0	0	0	0	2
league	2	0	0	0	0	2
probs	0	0	0	1	1	2
bench	0	0	0	2	0	2
boo	0	0	0	2	0	2
canada	1	0	0	1	0	2
aight	1	1	0	0	0	2
omgbruh	1	1	0	0	0	2
orianna	2	0	0	0	0	2
poggers	0	0	2	0	0	2
problem	0	0	1	1	0	2
strangers	0	0	1	1	0	2
premier	1	0	1	0	0	2
clear	1	0	0	0	1	2
rooshrug	0	0	0	2	0	2
court	0	0	0	2	0	2
surrender	0	0	2	0	0	2
cadian	0	0	2	0	0	2
meant	1	0	0	1	0	2
weeks	1	1	0	0	0	2
eyes	1	0	0	1	0	2
astrashlis	0	0	2	0	0	2
bedge	0	0	1	1	0	2
malding	0	0	2	0	0	2
trash	0	0	1	1	0	2
told	0	0	0	2	0	2
spam	1	0	0	0	1	2
stupid	1	0	1	0	0	2
salute	0	0	0	2	0	2
closer	0	0	0	1	1	2
energy	2	0	0	0	0	2
positive	2	0	0	0	0	2
legend	1	0	0	1	0	2
enn	0	0	2	0	0	2
imm_skull	0	0	2	0	0	2
smoked	0	0	2	0	0	2
choke	0	0	1	1	0	2
aim	0	0	1	0	1	2
baus	2	0	0	0	0	2
lucian	2	0	0	0	0	2
igl	0	0	2	0	0	2
mental	1	0	1	0	0	2
champs	1	0	0	0	1	2
streamers	1	1	0	0	0	2
community	1	0	0	1	0	2
hilarious	0	0	0	2	0	2
yoink	0	0	0	2	0	2
urself	0	0	0	1	1	2
surprised	0	0	0	2	0	2
powerbank	0	0	0	2	0	2
thousands	0	0	0	2	0	2
tita	0	0	0	2	0	2
called	1	0	0	0	1	2
alien	2	0	0	0	0	2
stfu	1	0	0	0	1	2
pointless	2	0	0	0	0	2
thebaus	2	0	0	0	0	2
sincerelyspotty	0	0	2	0	0	2
belgium	0	0	2	0	0	2
peepocheer	0	0	0	2	0	2
criminal	0	0	0	1	1	2
chatters	2	0	0	0	0	2
rage	0	0	0	2	0	2
lot	0	0	0	1	1	2
fiddle	2	0	0	0	0	2
jungler	2	0	0	0	0	2
enemy	1	0	0	0	1	2
brady	0	0	0	2	0	2
pilat	0	0	0	2	0	2
yk	0	0	1	0	1	2
reactionplayz_	0	0	2	0	0	2
cereal	2	0	0	0	0	2
angrier	2	0	0	0	0	2
portfolio	0	0	2	0	0	2
dreams	0	0	2	0	0	2
yippie	0	0	0	1	1	2
write	0	0	0	2	0	2
notes	0	0	0	2	0	2
lit	0	0	0	1	1	2
becca	0	0	0	2	0	2
agreed	0	0	0	1	1	2
hella	1	0	0	0	1	2
staycalm	2	0	0	0	0	2
irl	0	0	1	0	1	2
wear	0	0	1	1	0	2
robbed	0	0	1	1	0	2
seemsgood	0	0	1	1	0	2
pin	0	0	0	2	0	2
azzapp	2	0	0	0	0	2
zap	2	0	0	0	0	2
epstein	0	0	0	2	0	2
ew	0	0	0	1	1	2
nms	0	0	0	2	0	2
events	0	0	0	2	0	2
fighting	0	0	0	1	1	2
lacy	0	0	0	2	0	2
masters	1	0	0	0	1	2
tbh	1	1	0	0	0	2
started	1	1	0	0	0	2
shi	0	0	0	1	1	2
tapcap	0	0	0	2	0	2
actual	0	0	1	1	0	2
chudberto	0	0	2	0	0	2
honestly	0	0	1	0	1	2
reason	0	0	1	1	0	2
event	0	2	0	0	0	2
place	0	1	0	1	0	2
reference	0	0	1	0	1	2
chud	0	0	2	0	0	2
maxixor	0	0	2	0	0	2
heart	0	0	0	1	1	2
press	1	0	0	0	1	2
billy	1	0	0	1	0	2
neuro	0	0	0	2	0	2
vedalevilwave	0	0	0	2	0	2
unit	0	0	0	1	1	2
loll	0	2	0	0	0	2
um	0	1	1	0	0	2
therapy	0	2	0	0	0	2
portal	0	2	0	0	0	2
built	0	1	0	1	0	2
checking	0	0	1	0	1	2
facts	0	0	1	1	0	2
heinztf	0	0	2	0	0	2
killing	0	0	1	1	0	2
finished	0	0	0	2	0	2
asmon	0	0	0	2	0	2
heard	0	0	0	1	1	2
philly	0	0	0	2	0	2
kekl	0	1	0	1	0	2
advice	0	1	0	0	1	2
trolling	0	1	1	0	0	2
bed	0	2	0	0	0	2
lolol	0	2	0	0	0	2
ways	0	1	1	0	0	2
connect	0	0	0	2	0	2
lookup	0	0	0	1	1	2
artifact	2	0	0	0	0	2
deck	2	0	0	0	0	2
stabbing	0	0	0	2	0	2
input	0	0	0	2	0	2
diesofcringe	0	0	0	2	0	2
hoo	0	0	0	1	1	2
war	0	0	0	2	0	2
violent	0	0	0	2	0	2
whites	0	0	0	2	0	2
missing	0	1	0	0	1	2
ty	0	1	1	0	0	2
tan	0	1	0	0	1	2
boosfergiggle	0	2	0	0	0	2
snakezy	0	2	0	0	0	2
mint	0	1	0	1	0	2
pepelaugh	0	1	0	1	0	2
champ	2	0	0	0	0	2
defend	0	0	0	2	0	2
rapists	0	0	0	2	0	2
working	1	1	0	0	0	2
abt	1	0	1	0	0	2
burning	0	0	0	2	0	2
favorite	1	0	1	0	0	2
kuchta	2	0	0	0	0	2
wuh	2	0	0	0	0	2
queen	2	0	0	0	0	2
crime	0	0	0	2	0	2
gangs	0	0	0	2	0	2
behave	0	0	0	2	0	2
ik	0	0	0	2	0	2
uk	0	0	0	2	0	2
judge	0	1	0	0	1	2
boosferwave	0	2	0	0	0	2
sneaky	0	1	0	1	0	2
therethere	0	2	0	0	0	2
flashback	0	2	0	0	0	2
moment	0	1	1	0	0	2
bebe	0	0	0	0	2	2
artisan	0	0	0	0	2	2
xl	0	0	0	0	2	2
room	0	1	0	0	1	2
fingers	0	2	0	0	0	2
pat	0	2	0	0	0	2
looked	0	1	0	0	1	2
sarulf	2	0	0	0	0	2
golgari	2	0	0	0	0	2
foreigners	0	0	0	2	0	2
citizens	0	0	0	2	0	2
muslims	0	0	0	2	0	2
lobby	1	0	0	0	1	2
special	0	0	0	2	0	2
treatment	0	0	0	2	0	2
twin	0	0	0	0	2	2
returned	0	0	0	0	2	2
tiktok	0	0	0	0	2	2
explain	0	0	0	0	2	2
ready	0	0	0	0	2	2
eat	1	0	0	0	1	2
dmg	2	0	0	0	0	2
guardian	0	1	0	0	1	2
phone	0	1	0	1	0	2
eating	0	1	0	0	1	2
theobaldthemanager	0	2	0	0	0	2
yapping	0	1	1	0	0	2
yh	0	1	0	1	0	2
togehter	2	0	0	0	0	2
tdm	0	0	0	0	2	2
razer	0	0	0	0	2	2
viper	0	0	0	0	2	2
fns	0	0	0	0	2	2
owo	0	0	0	0	2	2
maths	0	1	0	0	1	2
lurking	0	2	0	0	0	2
nod	0	2	0	0	0	2
waffles	0	2	0	0	0	2
ima	0	1	0	1	0	2
rank	0	1	0	0	1	2
cannons	2	0	0	0	0	2
card	0	0	0	0	2	2
tinakicry	0	0	0	0	2	2
member	0	0	0	0	2	2
twitchunity	0	0	0	0	2	2
soft	0	0	0	0	2	2
questionare	0	0	0	0	2	2
disappear	0	0	0	0	2	2
jhin	2	0	0	0	0	2
happydd	2	0	0	0	0	2
random	1	0	1	0	0	2
choked	0	0	0	0	2	2
ball	0	2	0	0	0	2
happen	0	1	0	0	1	2
sobbing	0	1	0	0	1	2
hihi	0	2	0	0	0	2
prince	0	1	1	0	0	2
wsp	0	2	0	0	0	2
excited	0	1	0	0	1	2
zamm	0	2	0	0	0	2
wo	0	2	0	0	0	2
juanddclap	0	0	0	0	2	2
ishan	0	0	0	0	2	2
vegettsad	0	0	0	0	2	2
comp	2	0	0	0	0	2
bonded	0	0	0	0	2	2
sobbed	0	0	0	0	2	2
xtentacion	0	2	0	0	0	2
saul	0	2	0	0	0	2
boring	0	1	1	0	0	2
clubstep	0	2	0	0	0	2
command	0	1	1	0	0	2
updated	0	1	1	0	0	2
aww	0	1	0	0	1	2
ssd_	0	2	0	0	0	2
cya	0	1	0	1	0	2
pistol	0	0	0	0	2	2
pistols	0	0	0	0	2	2
chron	0	0	0	0	2	2
alright	1	1	0	0	0	2
kiss	0	0	0	0	2	2
scuba	0	0	0	0	2	2
jawgemo	0	0	0	0	2	2
counting	0	1	0	1	0	2
assume	0	1	1	0	0	2
mario	0	2	0	0	0	2
maker	0	2	0	0	0	2
twerk	0	0	0	0	2	2
flex	1	0	0	0	1	2
budget	1	0	1	0	0	2
remastered	0	0	0	0	2	2
uhh	0	0	0	0	2	2
proof	0	0	0	0	2	2
dex	0	0	0	0	2	2
valo	0	0	0	0	2	2
absolutely	1	0	1	0	0	2
heretics	0	0	0	0	2	2
oda	0	0	0	0	2	2
forsenfaint	0	2	0	0	0	2
touched	0	1	0	0	1	2
geass	0	2	0	0	0	2
friend	0	1	0	0	1	2
anime	0	2	0	0	0	2
genuinely	0	1	0	0	1	2
straight	0	1	0	0	1	2
collect	0	2	0	0	0	2
coins	0	2	0	0	0	2
happywei	0	0	0	0	2	2
scatter	0	0	0	0	2	2
mada	0	0	0	0	2	2
joever	2	0	0	0	0	2
xlg	0	0	0	0	2	2
talent	0	0	0	0	2	2
travis	0	0	0	0	2	2
party	0	1	0	0	1	2
collab	0	2	0	0	0	2
ig	0	1	0	0	1	2
duelist	0	0	0	0	2	2
fax	0	0	0	0	2	2
wouldve	0	0	0	0	2	2
milk	2	0	0	0	0	2
strong	2	0	0	0	0	2
okok	1	0	1	0	0	2
plays	0	0	0	0	2	2
unrt	0	0	0	0	2	2
fans	0	0	0	0	2	2
profile	1	0	1	0	0	2
english	1	1	0	0	0	2
ardiis	0	0	0	0	2	2
omen	0	0	0	0	2	2
haerin	0	0	0	0	2	2
stuff	0	1	0	0	1	2
sticker	0	2	0	0	0	2
zombies	0	2	0	0	0	2
locked	0	1	0	0	1	2
someones	0	1	1	0	0	2
nno	0	2	0	0	0	2
stealing	0	0	0	0	2	2
lnk	0	0	0	0	2	2
yinsu	0	0	0	0	2	2
tl	0	0	0	0	2	2
nivera	0	0	0	0	2	2
pacific	0	0	0	0	2	2
desk	0	0	0	0	2	2
mode	0	0	0	0	2	2
zigged	0	0	0	0	2	2
ht	0	2	0	0	0	2
putting	0	2	0	0	0	2
belt	0	2	0	0	0	2
battle	0	1	0	0	1	2
minutes	0	1	1	0	0	2
cheating	0	2	0	0	0	2
chestplate	0	2	0	0	0	2
twirps	0	2	0	0	0	2
refrain	0	2	0	0	0	2
mm	0	0	0	0	2	2
tung	0	0	0	0	2	2
slower	0	0	0	0	2	2
waylay	0	0	0	0	2	2
ddr	0	0	0	0	2	2
letters	0	2	0	0	0	2
strat	0	1	0	0	1	2
goals	0	1	0	1	0	2
town	0	1	0	1	0	2
letter	0	2	0	0	0	2
streaming	0	2	0	0	0	2
coding	0	2	0	0	0	2
alt	0	2	0	0	0	2
hiding	0	0	0	0	2	2
patience	0	0	0	0	2	2
spidey	0	0	0	0	2	2
spider	0	0	0	0	2	2
uncharted	0	0	0	0	2	2
rae	0	0	0	0	2	2
middle	0	0	0	0	2	2
glerm	2	0	0	0	0	2
triangle	0	0	0	0	1	1
mrrm	1	0	0	0	0	1
aksherm	1	0	0	0	0	1
cuteerm	1	0	0	0	0	1
darkermvest	1	0	0	0	0	1
didsomeonesayerm	1	0	0	0	0	1
elermtrocute	1	0	0	0	0	1
jr	0	0	0	0	1	1
hut	0	0	0	0	1	1
weenie	0	0	0	0	1	1
clappi	0	0	0	0	1	1
option	0	0	0	0	1	1
waytooerm	1	0	0	0	0	1
veryerm	1	0	0	0	0	1
terminus	1	0	0	0	0	1
term	1	0	0	0	0	1
rerm	1	0	0	0	0	1
repterm	1	0	0	0	0	1
permnis	1	0	0	0	0	1
hermris	1	0	0	0	0	1
ermadin	1	0	0	0	0	1
relatable	0	0	0	0	1	1
stimulated	0	0	0	0	1	1
wt	0	1	0	0	0	1
feinberg	0	1	0	0	0	1
wha	0	1	0	0	0	1
fault	0	1	0	0	0	1
problematicparagons	0	1	0	0	0	1
coincidence	0	1	0	0	0	1
suspiciously	0	1	0	0	0	1
crashed	0	1	0	0	0	1
trueing	0	1	0	0	0	1
tomato	0	1	0	0	0	1
forcing	0	1	0	0	0	1
revealed	0	1	0	0	0	1
fisk	0	0	0	0	1	1
prepare	0	0	0	0	1	1
heal	0	0	0	0	1	1
gow	0	0	0	0	1	1
promise	0	1	0	0	0	1
rewards	0	1	0	0	0	1
earned	0	1	0	0	0	1
category	0	1	0	0	0	1
participating	0	1	0	0	0	1
champions	0	1	0	0	0	1
areana	0	1	0	0	0	1
undsr	0	1	0	0	0	1
teap	0	1	0	0	0	1
sheild	0	1	0	0	0	1
rlly	0	1	0	0	0	1
shorten	0	1	0	0	0	1
vide	0	1	0	0	0	1
chonky	0	1	0	0	0	1
allocation	0	1	0	0	0	1
memory	0	1	0	0	0	1
neth	0	1	0	0	0	1
yalls	0	1	0	0	0	1
inventory	0	1	0	0	0	1
visiting	0	1	0	0	0	1
weakness	0	1	0	0	0	1
tulip	0	1	0	0	0	1
spawned	0	1	0	0	0	1
trader	0	1	0	0	0	1
wandering	0	1	0	0	0	1
mansion	0	1	0	0	0	1
sake	0	1	0	0	0	1
ice	0	1	0	0	0	1
fair	0	1	0	0	0	1
ferris	0	1	0	0	0	1
kappa	0	1	0	0	0	1
sakes	0	1	0	0	0	1
streamsniping	0	1	0	0	0	1
terms	0	1	0	0	0	1
blocked	0	1	0	0	0	1
bypassing	0	1	0	0	0	1
fonts	0	1	0	0	0	1
location	0	1	0	0	0	1
personal	0	1	0	0	0	1
share	0	1	0	0	0	1
tos	0	1	0	0	0	1
etiquette	0	1	0	0	0	1
advertise	0	1	0	0	0	1
view	0	1	0	0	0	1
drama	0	1	0	0	0	1
spamming	0	1	0	0	0	1
bel	0	1	0	0	0	1
lwk	0	1	0	0	0	1
netherite	0	1	0	0	0	1
headweb	0	1	0	0	0	1
respectful	0	1	0	0	0	1
safe	0	1	0	0	0	1
listed	0	1	0	0	0	1
moderate	0	1	0	0	0	1
allergic	0	1	0	0	0	1
boom	0	1	0	0	0	1
feinbergs	0	1	0	0	0	1
lockin	0	1	0	0	0	1
marin	0	1	0	0	0	1
lying	0	1	0	0	0	1
circus	0	1	0	0	0	1
walteryay	0	1	0	0	0	1
wdr	0	1	0	0	0	1
spoiling	0	1	0	0	0	1
sb	0	1	0	0	0	1
coms	0	1	0	0	0	1
combo	0	1	0	0	0	1
hint	0	1	0	0	0	1
marie	0	1	0	0	0	1
knowledge	0	1	0	0	0	1
streams	0	1	0	0	0	1
tge	0	1	0	0	0	1
tuned	0	1	0	0	0	1
obsession	0	1	0	0	0	1
hearts	0	1	0	0	0	1
mobs	0	1	0	0	0	1
flow	0	1	0	0	0	1
cheerleader	0	1	0	0	0	1
gowan	0	1	0	0	0	1
exams	0	1	0	0	0	1
cadetcumb	0	1	0	0	0	1
cadetspnk	0	1	0	0	0	1
skip	0	1	0	0	0	1
relacing	0	1	0	0	0	1
movie	0	1	0	0	0	1
backrooms	0	1	0	0	0	1
opinion	0	1	0	0	0	1
william	0	1	0	0	0	1
decent	0	1	0	0	0	1
goonix	0	1	0	0	0	1
rock	0	1	0	0	0	1
jojos	0	1	0	0	0	1
overheated	0	1	0	0	0	1
ucnccle	0	1	0	0	0	1
omgg	0	1	0	0	0	1
releasing	0	1	0	0	0	1
hobo	0	1	0	0	0	1
pokemon	0	1	0	0	0	1
pog	0	1	0	0	0	1
jiden	0	1	0	0	0	1
boe	0	1	0	0	0	1
horsen	0	1	0	0	0	1
forsenscoots	0	1	0	0	0	1
forsencd	0	1	0	0	0	1
skinhead	0	1	0	0	0	1
snea	0	1	0	0	0	1
forsennugg	0	1	0	0	0	1
forsenhobo	0	1	0	0	0	1
monkey	0	1	0	0	0	1
untrained	0	1	0	0	0	1
forsenbased	0	1	0	0	0	1
cadetber	0	1	0	0	0	1
fit	0	1	0	0	0	1
ova	0	1	0	0	0	1
pogt	0	1	0	0	0	1
monkaomega	0	1	0	0	0	1
don	0	1	0	0	0	1
cheeks	0	1	0	0	0	1
eachother	0	1	0	0	0	1
anthing	0	1	0	0	0	1
rise	0	1	0	0	0	1
pulse	0	1	0	0	0	1
glazes	0	1	0	0	0	1
paly	0	1	0	0	0	1
bajs	0	1	0	0	0	1
sith	0	1	0	0	0	1
forsensingingatyou	0	1	0	0	0	1
forsenhappy	0	1	0	0	0	1
yeye	0	1	0	0	0	1
ohh	0	1	0	0	0	1
popped	0	1	0	0	0	1
thought	0	1	0	0	0	1
olympics	0	1	0	0	0	1
akira	0	1	0	0	0	1
cauliflower	0	1	0	0	0	1
tittan	0	1	0	0	0	1
furious	0	1	0	0	0	1
fast	0	1	0	0	0	1
omfg	0	1	0	0	0	1
rachel	0	1	0	0	0	1
manually	0	1	0	0	0	1
videos	0	1	0	0	0	1
collects	0	1	0	0	0	1
graf	0	1	0	0	0	1
yas	0	1	0	0	0	1
zin	0	1	0	0	0	1
memories	0	1	0	0	0	1
levels	0	1	0	0	0	1
troll	0	1	0	0	0	1
lotus	0	1	0	0	0	1
sweater	0	1	0	0	0	1
neek	0	1	0	0	0	1
mazz	0	1	0	0	0	1
pella	0	1	0	0	0	1
hannah	0	1	0	0	0	1
abbi	0	1	0	0	0	1
detectors	0	1	0	0	0	1
metal	0	1	0	0	0	1
watched	0	1	0	0	0	1
office	0	1	0	0	0	1
grottymaxing	0	1	0	0	0	1
jonay	0	1	0	0	0	1
whys	0	1	0	0	0	1
pommys	0	1	0	0	0	1
dominos	0	1	0	0	0	1
holding	0	1	0	0	0	1
season	0	1	0	0	0	1
caul	0	1	0	0	0	1
finish	0	1	0	0	0	1
sammeahh	0	1	0	0	0	1
mythical	0	1	0	0	0	1
jumper	0	1	0	0	0	1
cop	0	1	0	0	0	1
elsia	0	1	0	0	0	1
annia	0	1	0	0	0	1
elite	0	1	0	0	0	1
delta	0	1	0	0	0	1
extreme	0	1	0	0	0	1
coopers	0	1	0	0	0	1
impala	0	1	0	0	0	1
tame	0	1	0	0	0	1
catmunch	0	1	0	0	0	1
smrt	0	1	0	0	0	1
carrying	0	1	0	0	0	1
jonnay	0	1	0	0	0	1
lmaoaoaoaoaoaa	0	1	0	0	0	1
lmoaoaooa	0	1	0	0	0	1
lmfaoaooao	0	1	0	0	0	1
lmfaaooao	0	1	0	0	0	1
microwave	0	1	0	0	0	1
sitting	0	1	0	0	0	1
martyn	0	1	0	0	0	1
redundant	0	1	0	0	0	1
staff	0	1	0	0	0	1
onsad	0	1	0	0	0	1
crown	0	1	0	0	0	1
saps	0	1	0	0	0	1
heyoo	0	1	0	0	0	1
whas	0	1	0	0	0	1
wadup	0	1	0	0	0	1
pondering	0	1	0	0	0	1
zamty	0	1	0	0	0	1
helo	0	1	0	0	0	1
zamo	0	1	0	0	0	1
hhi	0	1	0	0	0	1
cyimg	0	1	0	0	0	1
bravo	0	1	0	0	0	1
interfaace	0	1	0	0	0	1
echolocate	0	1	0	0	0	1
gws	0	1	0	0	0	1
rewarded	0	1	0	0	0	1
forfeits	0	1	0	0	0	1
boosfer	0	1	0	0	0	1
draftout	0	1	0	0	0	1
yum	0	1	0	0	0	1
sleep	0	1	0	0	0	1
harf	0	1	0	0	0	1
laptop	0	1	0	0	0	1
meal	0	1	0	0	0	1
monkeypat	0	1	0	0	0	1
hippo	0	1	0	0	0	1
choc_cookis	0	1	0	0	0	1
skull	0	1	0	0	0	1
machines	0	1	0	0	0	1
delete	0	1	0	0	0	1
uu	0	1	0	0	0	1
theobashrug	0	1	0	0	0	1
payed	0	1	0	0	0	1
redstone	0	1	0	0	0	1
yungy	0	1	0	0	0	1
lettucek	0	1	0	0	0	1
dtop	0	1	0	0	0	1
bigest	0	1	0	0	0	1
diamonds	0	1	0	0	0	1
paying	0	1	0	0	0	1
theos	0	1	0	0	0	1
mugm	0	1	0	0	0	1
technically	0	1	0	0	0	1
emote	0	1	0	0	0	1
imitating	0	1	0	0	0	1
deletedconfusedob	0	1	0	0	0	1
messages	0	1	0	0	0	1
goblin	0	1	0	0	0	1
drool	0	1	0	0	0	1
maleniatoes	0	1	0	0	0	1
bud	0	1	0	0	0	1
cotton	0	1	0	0	0	1
sadd	0	1	0	0	0	1
hurt	0	1	0	0	0	1
toes	0	1	0	0	0	1
choco	0	1	0	0	0	1
sponu	0	1	0	0	0	1
boats	0	1	0	0	0	1
carry	0	1	0	0	0	1
samall	0	1	0	0	0	1
rats	0	1	0	0	0	1
axel_xusky	0	1	0	0	0	1
drawing	0	1	0	0	0	1
finger	0	1	0	0	0	1
draww	0	1	0	0	0	1
stylus	0	1	0	0	0	1
listen	0	1	0	0	0	1
tupid	0	1	0	0	0	1
bonk	0	1	0	0	0	1
yeon	0	1	0	0	0	1
test	0	1	0	0	0	1
tree	0	1	0	0	0	1
mcdonalds	0	1	0	0	0	1
ragebaiting	0	1	0	0	0	1
ire	0	1	0	0	0	1
spoken	0	1	0	0	0	1
smthing	0	1	0	0	0	1
exploder	0	1	0	0	0	1
zombie	0	1	0	0	0	1
functional	0	1	0	0	0	1
depends	0	1	0	0	0	1
kissu	0	1	0	0	0	1
vani	0	1	0	0	0	1
haii	0	1	0	0	0	1
minty	0	1	0	0	0	1
loved	0	1	0	0	0	1
clueless	0	1	0	0	0	1
boi	0	1	0	0	0	1
clipped	0	1	0	0	0	1
pearitx	0	1	0	0	0	1
voet	0	1	0	0	0	1
cookiegog	0	1	0	0	0	1
relaxolol	0	1	0	0	0	1
tactics	0	1	0	0	0	1
afraid	0	1	0	0	0	1
maybehow	0	1	0	0	0	1
tach	0	1	0	0	0	1
gigglecat	0	1	0	0	0	1
curious	0	1	0	0	0	1
gotcaughttrolling	0	1	0	0	0	1
withmayx	0	1	0	0	0	1
imfrying	0	1	0	0	0	1
ash	0	1	0	0	0	1
myth	0	1	0	0	0	1
slept	0	1	0	0	0	1
woke	0	1	0	0	0	1
abruptly	0	1	0	0	0	1
fem	0	1	0	0	0	1
enter	0	1	0	0	0	1
gj	0	1	0	0	0	1
lolololol	0	1	0	0	0	1
frog	0	1	0	0	0	1
villagers	0	1	0	0	0	1
beds	0	1	0	0	0	1
bread	0	1	0	0	0	1
mace	0	1	0	0	0	1
redoons	0	1	0	0	0	1
pood	0	1	0	0	0	1
ashswags	0	1	0	0	0	1
peepogiggles	0	1	0	0	0	1
creepers	0	1	0	0	0	1
showing	0	1	0	0	0	1
doors	0	1	0	0	0	1
iron	0	1	0	0	0	1
lololololol	0	1	0	0	0	1
feet	0	0	1	0	0	1
ohnepixel	0	0	1	0	0	1
sales	0	0	1	0	0	1
listings	0	0	1	0	0	1
cuh	0	0	1	0	0	1
jewish	0	0	1	0	0	1
punchers	0	0	1	0	0	1
pillow	0	0	1	0	0	1
bomboclat	0	0	1	0	0	1
sdd	0	0	1	0	0	1
winetime	0	0	1	0	0	1
aro	0	0	1	0	0	1
vod	0	0	1	0	0	1
scrajj	0	0	1	0	0	1
button	0	1	0	0	0	1
timing	0	1	0	0	0	1
bought	0	0	1	0	0	1
mw	0	0	1	0	0	1
aviv	0	0	1	0	0	1
tel	0	0	1	0	0	1
living	0	0	1	0	0	1
lifesteals	0	1	0	0	0	1
announced	0	1	0	0	0	1
members	0	1	0	0	0	1
regular	0	1	0	0	0	1
includes	0	1	0	0	0	1
lowballing	0	1	0	0	0	1
noway	0	1	0	0	0	1
instantly	0	1	0	0	0	1
grow	0	1	0	0	0	1
robux	0	1	0	0	0	1
israeli	0	0	1	0	0	1
ultra	0	0	1	0	0	1
ft	0	0	1	0	0	1
sapphire	0	0	1	0	0	1
nomad	0	0	1	0	0	1
gamma	0	0	1	0	0	1
butterfly	0	0	1	0	0	1
traded	0	0	1	0	0	1
buf	0	0	1	0	0	1
pluso	0	0	1	0	0	1
minimal	0	0	1	0	0	1
bluey	0	0	1	0	0	1
gooning	0	0	1	0	0	1
extension	0	0	1	0	0	1
wencytheintern	0	0	1	0	0	1
berto	0	0	1	0	0	1
orm	0	0	1	0	0	1
gta	0	0	1	0	0	1
gai	0	0	1	0	0	1
infestation	1	0	0	0	0	1
dee	1	0	0	0	0	1
glad	1	0	0	0	0	1
int	1	0	0	0	0	1
dxx	1	0	0	0	0	1
duckdisco	1	0	0	0	0	1
permanently	1	0	0	0	0	1
toplane	1	0	0	0	0	1
villain	1	0	0	0	0	1
paidchatter	1	0	0	0	0	1
pok	0	0	1	0	0	1
karambit	0	0	1	0	0	1
gem	0	0	1	0	0	1
violents	0	0	1	0	0	1
designing	0	0	1	0	0	1
gd	0	0	1	0	0	1
overworking	1	0	0	0	0	1
firsttimeclassic	1	0	0	0	0	1
domenick	1	0	0	0	0	1
lord	1	0	0	0	0	1
ffg	1	0	0	0	0	1
timed	1	0	0	0	0	1
au	1	0	0	0	0	1
ryze	1	0	0	0	0	1
alienfell	1	0	0	0	0	1
figure	0	0	1	0	0	1
